	6AMay	3CJuly	6DMay	8CMay	8CJuly	6CMay	6AJuly	6DJuly	3AJuly	8BJuly	8BMay	3CMay	3BJuly	8AJuly	8AMay	3AMay	6CJuly	3BMay	0CJuly	0CMay	0AJuly	1DJuly	0BMay	1GMay	0BJuly	0AMay	1FJuly	1FMay	1DMay	1GJuly	taxonomy
denovo1	240.0	88.0	109.0	216.0	121.0	161.0	205.0	69.0	79.0	33.0	63.0	139.0	58.0	9.0	17.0	85.0	77.0	125.0	28.0	36.0	14.0	2.0	17.0	5.0	17.0	16.0	2.0	1.0	6.0	0.0	"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Desulfuromonadaceae; g__; s__"
denovo19	59.0	32.0	110.0	55.0	81.0	86.0	68.0	34.0	26.0	55.0	142.0	20.0	15.0	102.0	69.0	36.0	24.0	46.0	102.0	138.0	59.0	7.0	65.0	25.0	23.0	70.0	17.0	11.0	18.0	11.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__; s__"
denovo2	49.0	3.0	74.0	181.0	211.0	103.0	51.0	24.0	1.0	151.0	235.0	5.0	6.0	111.0	117.0	3.0	30.0	6.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	4.0	"k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__DRC31; f__; g__; s__"
denovo14	100.0	3.0	142.0	178.0	147.0	96.0	33.0	17.0	4.0	38.0	118.0	12.0	4.0	89.0	115.0	7.0	17.0	14.0	24.0	19.0	35.0	16.0	2.0	4.0	9.0	8.0	1.0	0.0	5.0	0.0	"k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__envOPS12; f__; g__; s__"
denovo12	60.0	8.0	54.0	153.0	193.0	42.0	79.0	51.0	2.0	75.0	204.0	0.0	1.0	84.0	124.0	11.0	41.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__; s__"
denovo5	13.0	0.0	28.0	10.0	29.0	38.0	5.0	3.0	1.0	4.0	13.0	0.0	1.0	0.0	12.0	1.0	1.0	0.0	126.0	150.0	95.0	11.0	142.0	49.0	59.0	136.0	15.0	113.0	16.0	50.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__; s__"
denovo17	95.0	9.0	53.0	40.0	112.0	52.0	54.0	6.0	7.0	60.0	172.0	21.0	10.0	47.0	72.0	46.0	17.0	41.0	27.0	29.0	18.0	14.0	6.0	12.0	10.0	10.0	19.0	3.0	23.0	15.0	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__; s__"
denovo4	10.0	2.0	73.0	11.0	22.0	24.0	17.0	7.0	0.0	26.0	53.0	1.0	0.0	29.0	122.0	2.0	8.0	3.0	16.0	7.0	3.0	15.0	6.0	188.0	2.0	4.0	49.0	139.0	89.0	132.0	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae"
denovo84	4.0	4.0	4.0	6.0	6.0	1.0	0.0	0.0	3.0	1.0	2.0	25.0	10.0	3.0	22.0	14.0	2.0	38.0	176.0	205.0	139.0	6.0	74.0	6.0	96.0	93.0	6.0	5.0	71.0	11.0	"k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Stramenopiles; f__; g__; s__"
denovo3	56.0	7.0	61.0	45.0	61.0	59.0	14.0	18.0	17.0	36.0	193.0	43.0	21.0	102.0	142.0	21.0	17.0	47.0	12.0	15.0	11.0	1.0	5.0	5.0	1.0	4.0	4.0	2.0	5.0	1.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__; s__"
denovo119	2.0	0.0	6.0	0.0	6.0	6.0	5.0	1.0	0.0	0.0	4.0	6.0	2.0	8.0	11.0	1.0	0.0	3.0	148.0	126.0	163.0	11.0	51.0	22.0	112.0	75.0	16.0	27.0	28.0	28.0	"k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Luteolibacter; s__"
denovo58	33.0	31.0	48.0	102.0	106.0	62.0	27.0	35.0	8.0	34.0	73.0	48.0	15.0	65.0	46.0	26.0	17.0	40.0	1.0	1.0	3.0	7.0	1.0	12.0	4.0	0.0	1.0	7.0	1.0	11.0	"k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__"
denovo69	29.0	0.0	31.0	4.0	19.0	26.0	35.0	17.0	0.0	4.0	6.0	0.0	0.0	8.0	12.0	1.0	7.0	0.0	63.0	85.0	52.0	13.0	20.0	55.0	30.0	35.0	16.0	197.0	14.0	79.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__; s__"
denovo31	11.0	42.0	5.0	116.0	83.0	17.0	43.0	24.0	34.0	44.0	113.0	17.0	19.0	28.0	48.0	40.0	20.0	68.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	10.0	3.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__"
